CANDIDATE_ID,CANDIDATE_NAME,AGE,CONSTITUENCY,STATE,PARTY,NO_PENDING_CRIMINAL_CASES,EDUCATION,EARNINGS,STATE_LITERACY_RATE,STATE_SEAT_SHARE,PARTY_GRP_IDX,AGE_GROUP_IDX,EDUCATION_GROUP_IDX,DELTA_STATE_VOTER_TURNOUT,NO_OF_PHASES,RE_CONTEST,SEX,WINNER,TOTAL_VOTES,VOTING_PERCENTAGE
13394,JANAK RAJ RANA,57,WEST DELHI,NATIONAL CAPITAL TERRITORY OF DELHI,Akhand Rashtrawadi Party,0,Graduate Professional,40872000,0.8634,0.013,1,2,3,-0.0537,1,0,M,0,329,0.0002
11797,JANARDAN GOND,46,BAHRAICH,UTTAR PRADESH,Independent,0,12th Pass,5035964,0.6972,0.147,1,3,2,0.0121,7,0,M,0,5179,0.0052
7834,JANARDAN PATI,71,BHUBANESWAR,ODISHA,Communist Party of India  (Marxist),1,Graduate Professional,23686053,0.7345,0.039,3,1,3,-0.0073,4,0,M,0,23026,0.0229
11596,JANARDAN PRASAD MISHRA,62,REWA,MADHYA PRADESH,Bharatiya Janata Party,0,Graduate Professional,19779123,0.7063,0.053,3,1,3,0.0943,4,0,M,1,583769,0.5761
12079,JANARDAN SINGH SIGRIWAL,55,MAHARAJGANJ,BIHAR,Bharatiya Janata Party,5,Graduate,9900986,0.6382,0.073,3,2,3,0.0181,7,0,M,1,546352,0.5617
8245,JANATHIYA PRAVINBHAI LADAKBHAI,31,DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI,Bahujan Mukti Party,0,12th Pass,0,0.7765,0.002,1,4,2,-0.045,1,0,M,0,1596,0.008
4735,JANCI.J,36,CHENNAI SOUTH,TAMIL NADU,Independent,1,Graduate,373500,0.8033,0.072,1,4,3,-0.0173,1,0,F,0,379,0.0003
5029,JANGA GOUTHAM,49,AMALAPURAM,ANDHRA PRADESH,Indian National Congress,0,Graduate,14768500,0.674,0.046,3,3,3,0.0524,1,0,M,0,7887,0.0064
13709,JANGBAHADUR,31,CHANDAULI,UTTAR PRADESH,Bhartiya Manav Samaj Party,0,12th Pass,10694000,0.6972,0.147,1,4,2,0.0121,7,0,M,0,1172,0.0011
13927,JANI KARAN,41,KHARGONE,MADHYA PRADESH,Independent,0,Graduate,1000,0.7063,0.053,1,3,3,0.0943,4,0,M,0,5330,0.0037
13883,JANMEJAY KUMAR PRAJAPATI,26,BALLIA,UTTAR PRADESH,Bharatiya Samta Samaj Party,0,Others,51000,0.6972,0.147,1,5,0,0.0121,7,0,M,0,2454,0.0025
6876,JANNU NARSAIAH,44,WARANGAL,TELANGANA,Independent,1,Others,560000,0.665,0.031,1,3,0,-0.0814,1,0,M,0,6112,0.0058
8006,JARDOSH DARSHNABEN VIKRAMBHAI,58,SURAT,GUJARAT,Bharatiya Janata Party,0,Graduate,23872876,0.7931,0.048,3,2,3,0.0045,1,0,F,1,607,0.0006
10043,JARGELA HASANBHAI ABDULBHAI,56,SURENDRANAGAR,GUJARAT,Independent,0,10th Pass,35000,0.7931,0.048,1,2,1,0.0045,1,0,M,0,3110,0.0029
7187,JARJUM ETE,56,ARUNACHAL WEST,ARUNACHAL PRADESH,Janata Dal  (Secular),0,Post Graduate,38265000,0.6695,0.004,2,2,4,-0.0174,1,0,F,0,43920,0.1226
13817,JASBIR SINGH,60,GURDASPUR,PUNJAB,Bahujan Samaj Party (Ambedkar),0,5th Pass,0,0.7668,0.024,1,1,0,-0.0592,1,0,M,0,801,0.0007
13809,JASBIR SINGH,55,PATIALA,PUNJAB,Independent,1,Illiterate,22706000,0.7668,0.024,1,2,0,-0.0592,1,0,M,0,1126,0.001
13131,JASBIR SINGH GILL,48,KHADOOR SAHIB,PUNJAB,Indian National Congress,0,Others,76738500,0.7668,0.024,3,3,0,-0.0592,1,0,M,1,459710,0.4395
13565,JASDEEP SINGH,30,LUDHIANA,PUNJAB,Independent,0,10th Pass,2659047,0.7668,0.024,1,4,1,-0.0592,1,0,M,0,1535,0.0015
12690,JASEM AHAMAD,41,SITAMARHI,BIHAR,Bahujan Samaj Party,0,Literate,1664800,0.6382,0.073,3,3,0,0.0181,7,0,M,0,7112,0.0068
11711,JASKAUR MEENA,71,DAUSA,RAJASTHAN,Bharatiya Janata Party,0,Post Graduate,137917133,0.6706,0.046,3,1,4,0.0279,2,0,F,1,548733,0.5163
13715,JASPAL SINGH,42,AMRITSAR,PUNJAB,Independent,0,5th Pass,431000,0.7668,0.024,1,3,0,-0.0592,1,0,M,0,271,0.0003
9402,JASPALSINH TOMAR,34,RAJKOT,GUJARAT,Independent,0,Others,3748000,0.7931,0.048,1,4,0,0.0045,1,0,M,0,1596,0.0013
8021,JASPER GNANA MARTIN G.,38,THOOTHUKKUDI,TAMIL NADU,Independent,0,Post Graduate,4674500,0.8033,0.072,1,4,4,-0.0173,1,0,M,0,436,0.0004
13794,JASRAJ SINGH LONGIA,46,SANGRUR,PUNJAB,Lok Insaaf Party,0,Graduate,5341210,0.7668,0.024,1,3,3,-0.0592,1,0,M,0,20087,0.0182
7125,JASVANT SINGH BAGHEL,42,MATHURA,UTTAR PRADESH,Rashtriya Shoshit Samaj Party,0,10th Pass,66667957,0.6972,0.147,1,3,1,0.0121,7,0,M,0,1245,0.0011
8000,JASVANTSINH SUMANBHAI BHABHOR,52,DAHOD,GUJARAT,Bharatiya Janata Party,0,Graduate Professional,27070480,0.7931,0.048,3,2,3,0.0045,1,0,M,1,561760,0.5284
5487,JASVEER SINGH,45,MATHURA,UTTAR PRADESH,Rashtriya Naujawan Dal,0,12th Pass,1686500,0.6972,0.147,1,3,2,0.0121,7,0,M,0,1630,0.0015
12195,JASWANT,41,SIRSA,HARYANA,Bhartiya Shakti Chetna Party,0,8th Pass,965000,0.7664,0.018,1,3,0,-0.0311,1,0,M,0,1536,0.0011
13796,JASWANT SINGH,56,SANGRUR,PUNJAB,Rashtriya Janshakti Party (Secular),0,Literate,2230000,0.7668,0.024,1,2,0,-0.0592,1,0,M,0,1653,0.0015
13587,JASWINDER SINGH,36,FARIDKOT,PUNJAB,Independent,0,Literate,271500,0.7668,0.024,1,4,0,-0.0592,1,0,M,0,4912,0.005
10342,JAT SUBHAS SINGH BRIJLAL,36,VADODARA,GUJARAT,All India Hindustan Congress Party,1,Graduate,2925000,0.7931,0.048,1,4,3,0.0045,1,0,M,0,1097,0.0009
9182,JATHEESH A P,43,VADAKARA,KERALA,National Labour Party,0,8th Pass,1530447,0.9391,0.037,1,3,0,0.0373,1,0,M,0,2833,0.0027
11004,JATIN RANGRAO HARNE,44,MUMBAI NORTH EAST,MAHARASHTRA,Independent,1,12th Pass,2028,0.8291,0.088,1,3,2,0.0047,4,0,M,0,1573,0.0017
12982,JATINDER SINGH,36,AMBALA,HARYANA,Independent,0,10th Pass,332945,0.7664,0.018,1,4,1,-0.0311,1,0,M,0,2637,0.002
13596,JATINDER SINGH THIND,60,FIROZPUR,PUNJAB,Independent,1,Graduate,0,0.7668,0.024,1,1,3,-0.0592,1,0,M,0,6804,0.0058
6884,JATOTHU HUSSAIN,37,MAHABUBABAD,TELANGANA,Bharatiya Janata Party,0,Graduate,20043582,0.665,0.031,3,4,3,-0.0814,1,0,M,0,25487,0.0259
11648,JAUHAR AZAD,39,MUZAFFARPUR,BIHAR,Bahujan Mukti Party,0,12th Pass,2387372,0.6382,0.073,1,4,2,0.0181,7,0,M,0,4636,0.0044
5663,JAVAID AHMED,60,JAMMU,JAMMU AND KASHMIR,All India Forward Bloc,0,12th Pass,0,0.6874,0.011,2,1,2,-0.2033,5,0,M,0,33,0.0026
14176,JAVED,46,PATNA SAHIB,BIHAR,Independent,0,5th Pass,54714,0.6382,0.073,1,3,0,0.0181,7,0,M,0,5446,0.0055
5945,JAVED AKHTER,53,KISHANGANJ,BIHAR,All India Trinamool Congress,2,Graduate,22235300,0.6382,0.073,3,2,3,0.0181,7,0,M,0,5483,0.005
8327,JAVED KHAN,35,BAREILLY,UTTAR PRADESH,Independent,4,Literate,114000,0.6972,0.147,1,4,0,0.0121,7,0,M,0,2789,0.0026
9554,JAVED KHAN,43,RAMPUR,UTTAR PRADESH,Independent,1,Illiterate,620608,0.6972,0.147,1,3,0,0.0121,7,0,M,0,1963,0.0019
11286,JAVED MOHAMMAD KHAN,60,KANPUR,UTTAR PRADESH,Independent,1,12th Pass,0,0.6972,0.147,1,1,2,0.0121,7,0,M,0,696,0.0008
10767,JAVED SHABBIR SAYYED,43,PUNE,MAHARASHTRA,Independent,0,8th Pass,100000,0.8291,0.088,1,3,0,0.0047,4,0,M,0,339,0.0003
5864,JAVEED HUSSAIN T,28,PERAMBALUR,TAMIL NADU,Independent,0,Others,-225000,0.8033,0.072,1,5,0,-0.0173,1,0,M,0,913,0.0008
5645,JAVID AHMAD QURESHI,45,BARAMULLA,JAMMU AND KASHMIR,Independent,0,8th Pass,1170000,0.6874,0.011,1,3,0,-0.2033,5,0,M,0,51,0.0074
9031,JAWADKHAN SUJATKHAN PATHAN,35,NAVSARI,GUJARAT,Yuva Sarkar,0,8th Pass,725000,0.7931,0.048,1,4,0,0.0045,1,0,M,0,574,0.0004
13035,JAWAHAR SINGH PAHAL,60,GURGAON,HARYANA,Bhartiya Shakti Chetna Party,0,Graduate,0,0.7664,0.018,1,1,3,-0.0311,1,0,M,0,309,0.0002
